mgr_ip,event_time,origin,origin_name,s_info,s_port,d_info,d_port,protocol,status,method,count
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.69.247,41203,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.58.248,46476,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.59.248,58188,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.53.248,47283,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:08,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.63.247,37342,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.79.248,41555,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.68.247,50246,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.55.248,58467,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.51.248,52399,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.103.123,39880,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.54.248,50124,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.115.123,44702,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.15.242,48513,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.66.247,41106,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.108.112,40006,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.26.247,53638,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.56.248,50667,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.109.112,39770,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.111.44,34332,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.6.115.51,41618,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.70.247,46246,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.106.112,44077,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:09,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.12.112,54596,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:07,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.66.247,41102,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:07,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.68.247,50242,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:07,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.108.112,40002,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:07,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.69.247,41199,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 0:06,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.63.247,37338,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:22,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.110.112,46027,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:21,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.68.247,51572,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:22,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.111.44,35105,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:22,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.148.35,54794,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:22,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.106.112,44852,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:26,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.52.248,43156,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:26,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.107.112,33477,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:26,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.103.123,40661,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:13,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.66.247,42412,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.103.112,56164,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.111.112,52123,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.107.112,33462,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.109.112,40534,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.51.248,53163,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.12.112,55362,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.58.248,47240,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.53.248,48047,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.108.112,40770,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.106.112,44841,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.55.248,59231,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.115.123,45464,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.148.35,54785,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.79.248,42319,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
